epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,70432.8,0.34246,0.38854,1.04073,0.99351,0.99762,0.99495,0.98692,0.17583,0.14325,0.80253,0.003763,0.003763,0.003763
65,79942.9,0.3385,0.38663,1.04141,0.99395,0.99794,0.99496,0.9869,0.17565,0.14305,0.80229,0.003664,0.003664,0.003664
66,89492.4,0.33902,0.38978,1.03886,0.99396,0.99804,0.99496,0.98686,0.17544,0.14263,0.80189,0.003565,0.003565,0.003565
67,99022.2,0.33828,0.3906,1.03922,0.99368,0.99813,0.99496,0.98686,0.17517,0.14246,0.80154,0.003466,0.003466,0.003466
68,108878,0.3367,0.37655,1.0386,0.99365,0.99817,0.99496,0.98686,0.17486,0.14174,0.8011,0.003367,0.003367,0.003367
69,118597,0.33907,0.38632,1.03992,0.99367,0.99817,0.99496,0.98712,0.1746,0.14144,0.80076,0.003268,0.003268,0.003268
70,128905,0.33997,0.38346,1.04007,0.99384,0.99815,0.99497,0.98691,0.17442,0.14133,0.8005,0.003169,0.003169,0.003169
71,138754,0.3345,0.37376,1.03805,0.99394,0.99806,0.99497,0.98723,0.17412,0.14048,0.80005,0.00307,0.00307,0.00307
72,148555,0.33025,0.38134,1.03268,0.99405,0.99773,0.99497,0.98725,0.17379,0.14038,0.7996,0.002971,0.002971,0.002971
73,158436,0.33816,0.37824,1.03905,0.99402,0.9976,0.99497,0.98724,0.17342,0.14041,0.79914,0.002872,0.002872,0.002872
74,168323,0.33374,0.37321,1.04015,0.9941,0.99744,0.99497,0.98726,0.17299,0.1402,0.79866,0.002773,0.002773,0.002773
75,178076,0.3289,0.36454,1.03476,0.99709,0.99434,0.99497,0.98738,0.17275,0.13985,0.79836,0.002674,0.002674,0.002674
76,187795,0.32918,0.36262,1.03694,0.99719,0.99425,0.99497,0.98747,0.17253,0.13938,0.79803,0.002575,0.002575,0.002575
77,197871,0.33028,0.37171,1.03403,0.99646,0.99536,0.99497,0.9876,0.17235,0.13907,0.79784,0.002476,0.002476,0.002476
78,207653,0.33132,0.37519,1.03714,0.99617,0.99591,0.99498,0.98763,0.17223,0.13875,0.79768,0.002377,0.002377,0.002377
79,217670,0.32648,0.36507,1.03523,0.996,0.99632,0.99498,0.9877,0.17196,0.13874,0.79738,0.002278,0.002278,0.002278
80,227785,0.32596,0.35614,1.03422,0.99586,0.99651,0.99497,0.98785,0.17159,0.13827,0.79695,0.002179,0.002179,0.002179
81,237545,0.32568,0.36219,1.02858,0.99604,0.99656,0.99497,0.98772,0.17132,0.13781,0.7966,0.00208,0.00208,0.00208
82,247284,0.31912,0.34414,1.02898,0.99617,0.99616,0.99498,0.98804,0.17091,0.13755,0.79611,0.001981,0.001981,0.001981
83,10848.9,0.31227,0.33421,1.02651,0.99637,0.99626,0.99498,0.98807,0.17085,0.1376,0.79599,0.001882,0.001882,0.001882
84,20697.3,0.31687,0.33358,1.03057,0.99638,0.99634,0.99498,0.98821,0.17081,0.13764,0.79595,0.001783,0.001783,0.001783
85,30540.3,0.31143,0.33254,1.02426,0.99616,0.9967,0.99498,0.98812,0.17074,0.13756,0.79577,0.001684,0.001684,0.001684
86,40357.2,0.31517,0.33325,1.02937,0.99616,0.99666,0.99498,0.98821,0.17071,0.13747,0.79569,0.001585,0.001585,0.001585
87,50290.5,0.31494,0.33609,1.02695,0.99633,0.99646,0.99498,0.98847,0.17056,0.13739,0.79549,0.001486,0.001486,0.001486
88,60428.3,0.31346,0.32642,1.02819,0.99636,0.99636,0.99498,0.98839,0.17033,0.13715,0.79513,0.001387,0.001387,0.001387
89,70646.4,0.31157,0.3246,1.02566,0.99703,0.99616,0.99498,0.98862,0.17034,0.13686,0.79512,0.001288,0.001288,0.001288
90,81253.5,0.30979,0.32287,1.02703,0.99704,0.99621,0.99498,0.98842,0.17028,0.13688,0.79507,0.001189,0.001189,0.001189
91,91720.3,0.11791,0.16871,0.85866,0.9977,0.99512,0.99498,0.98848,0.16993,0.13639,0.79462,0.00109,0.00109,0.00109
92,101793,0.1153,0.15337,0.851,0.99674,0.9959,0.99498,0.98861,0.1694,0.13596,0.79392,0.000991,0.000991,0.000991
93,111783,0.11232,0.14611,0.85275,0.99765,0.99514,0.99498,0.98871,0.16894,0.13535,0.79336,0.000892,0.000892,0.000892
94,121803,0.1111,0.15015,0.8545,0.99749,0.99589,0.99498,0.98881,0.16841,0.13465,0.79269,0.000793,0.000793,0.000793
95,131891,0.11073,0.13943,0.85535,0.99805,0.99589,0.99499,0.98891,0.16766,0.13361,0.79166,0.000694,0.000694,0.000694
96,141987,0.10628,0.12136,0.85121,0.99805,0.99584,0.99499,0.98913,0.16688,0.13265,0.79068,0.000595,0.000595,0.000595
97,152453,0.10364,0.13302,0.84771,0.99807,0.99562,0.99499,0.98949,0.16618,0.13217,0.78978,0.000496,0.000496,0.000496
98,162554,0.10378,0.12868,0.84796,0.99802,0.99567,0.99499,0.9898,0.16549,0.13153,0.78889,0.000397,0.000397,0.000397
99,173153,0.10232,0.11806,0.84716,0.99808,0.9957,0.99499,0.98998,0.16479,0.13073,0.78803,0.000298,0.000298,0.000298
100,183302,0.10142,0.11708,0.84825,0.99765,0.99559,0.99499,0.99002,0.16411,0.13009,0.78722,0.000199,0.000199,0.000199
